freq_hz,spl_db
526.1541,52.269
529.9668,52.712
533.8072,53.133
537.6754,53.547
541.5716,54.076
545.4960,54.639
549.4489,54.292
553.4304,53.679
557.4408,53.151
561.4803,52.647
565.5490,52.042
569.6472,51.410
573.7751,50.722
577.9329,50.020
582.1208,49.293
586.3391,48.559
590.5880,48.861
594.8676,49.408
599.1783,49.989
603.5202,50.579
607.8935,50.835
612.2986,51.019
616.7356,51.494
621.2047,52.030
625.7062,52.267
630.2403,52.446
634.8073,52.725
639.4074,53.022
644.0408,52.787
648.7078,52.458
653.4086,52.734
658.1434,53.110
662.9126,53.593
667.7163,54.092
672.5549,54.553
677.4285,55.008
682.3374,55.429
687.2819,55.845
692.2623,55.661
697.2787,55.398
702.3314,55.756
707.4208,56.191
712.5471,56.600
717.7105,57.005
722.9113,56.741
728.1498,56.406
733.4263,56.680
738.7410,57.013
744.0942,57.338
749.4863,57.662
754.9173,57.606
760.3878,57.519
765.8979,56.751
771.4479,55.934
777.0381,56.611
782.6688,57.387
788.3404,57.902
794.0530,58.402
799.8071,59.499
805.6028,60.626
811.4405,60.750
817.3206,60.831
823.2432,60.392
829.2088,59.936
835.2175,59.078
841.2699,58.209
847.3661,57.019
853.5064,55.822
859.6913,55.143
865.9210,54.471
872.1958,54.409
878.5161,54.351
884.8822,54.519
891.2944,54.686
897.7531,54.724
904.2586,54.761
910.8112,54.716
917.4113,54.650
924.0592,53.538
930.7554,52.426
937.5000,51.322
944.2935,50.244
951.1363,49.912
958.0286,49.574
964.9708,49.094
971.9634,48.643
979.0067,48.789
986.1010,48.927
993.2467,48.918
1000.4441,48.925
1007.6938,49.161
1014.9959,49.378
1022.3510,49.334
1029.7594,49.289
1037.2214,49.224
1044.7376,49.230
1052.3082,50.029
1059.9336,50.726
1067.6143,50.384
1075.3507,50.024
1083.1432,49.493
1090.9921,48.985
1098.8978,48.684
1106.8609,48.378
1114.8817,48.038
1122.9606,47.752
1131.0980,47.873
1139.2944,47.953
1147.5502,47.739
1155.8658,47.549
1164.2417,47.511
1172.6783,47.505
1181.1760,47.706
1189.7353,48.045
1198.3566,49.201
1207.0404,50.288
1215.7871,50.986
1224.5972,51.589
1233.4711,51.674
1242.4094,51.797
1251.4124,52.118
1260.4806,52.360
1269.6146,52.224
1278.8147,52.156
1288.0815,52.405
1297.4155,52.646
1306.8171,52.850
1316.2869,52.960
1325.8252,52.674
1335.4327,52.257
1345.1098,51.307
1354.8570,50.506
1364.6749,50.277
1374.5639,49.941
1384.5245,49.207
1394.5573,48.388
1404.6629,47.262
1414.8417,46.254
1425.0942,45.650
1435.4210,44.971
1445.8226,44.048
1456.2997,43.471
1466.8526,43.991
1477.4820,45.063
1488.1885,47.825
1498.9725,50.222
1509.8347,51.542
1520.7756,52.301
1531.7957,51.460
1542.8958,50.854
1554.0762,50.891
1565.3377,50.931
1576.6808,50.979
1588.1061,51.064
1599.6141,51.245
1611.2056,51.054
1622.8811,49.944
1634.6411,49.167
1646.4864,49.187
1658.4175,49.259
1670.4351,49.456
1682.5398,49.187
1694.7321,47.875
1707.0129,47.067
1719.3826,47.359
1731.8419,47.644
1744.3916,47.915
1757.0322,47.943
1769.7643,47.476
1782.5888,47.252
1795.5062,47.513
1808.5171,47.592
1821.6224,47.319
1834.8226,47.067
1848.1185,46.853
1861.5107,47.117
1875.0000,48.245
1888.5870,48.968
1902.2725,48.981
1916.0572,48.907
1929.9417,48.683
1943.9268,48.719
1958.0133,49.188
1972.2019,49.530
1986.4933,49.670
2000.8883,49.488
2015.3875,48.804
2029.9918,48.148
2044.7020,47.538
2059.5188,47.234
2074.4429,47.381
2089.4751,47.572
2104.6163,47.826
2119.8673,48.175
2135.2287,48.656
2150.7014,49.221
2166.2863,49.899
2181.9841,50.515
2197.7957,51.047
2213.7218,50.958
2229.7633,50.069
2245.9211,49.435
2262.1960,49.116
2278.5888,48.577
2295.1004,47.772
2311.7316,47.316
2328.4834,47.274
2345.3565,47.101
2362.3520,46.777
2379.4705,46.565
2396.7132,46.478
2414.0807,46.366
2431.5742,46.228
2449.1944,46.475
2466.9422,47.130
2484.8187,47.273
2502.8247,46.888
2520.9612,46.558
2539.2292,46.285
2557.6295,46.363
2576.1631,46.784
2594.8310,46.895
2613.6342,46.711
2632.5737,46.695
2651.6504,46.832
2670.8654,46.695
2690.2196,46.311
2709.7140,46.108
2729.3497,46.063
2749.1277,46.218
2769.0490,46.543
2789.1147,46.386
2809.3258,45.832
2829.6833,45.392
2850.1884,45.044
2870.8420,45.567
2891.6453,46.772
2912.5994,47.363
2933.7052,47.485
2954.9641,47.751
2976.3770,48.123
2997.9450,48.327
3019.6694,48.410
3041.5511,48.391
3063.5915,48.299
3085.7915,48.561
3108.1524,49.064
3130.6754,49.511
3153.3616,49.920
3176.2121,49.997
3199.2283,49.860
3222.4112,49.970
3245.7621,50.234
3269.2822,50.942
3292.9728,51.919
3316.8350,51.716
3340.8702,50.818
3365.0795,50.565
3389.4643,50.680
3414.0257,49.805
3438.7652,48.381
3463.6839,48.465
3488.7832,49.360
3514.0643,49.394
3539.5287,48.978
3565.1776,48.901
3591.0123,48.996
3617.0343,49.028
3643.2448,49.029
3669.6452,48.545
3696.2370,47.829
3723.0215,47.966
3750.0000,48.497
3777.1740,48.789
3804.5450,48.974
3832.1143,48.606
3859.8834,47.999
3887.8537,48.049
3916.0267,48.375
3944.4038,48.131
3972.9866,47.658
4001.7765,47.617
4030.7750,47.745
4059.9837,46.812
4089.4040,45.476
4119.0375,45.094
4148.8857,45.060
4178.9503,44.806
4209.2327,44.474
4239.7345,44.635
4270.4574,44.965
4301.4029,45.831
4332.5726,46.874
4363.9682,47.726
4395.5913,48.517
4427.4436,49.077
4459.5267,49.566
4491.8422,49.728
4524.3920,49.794
4557.1776,49.462
4590.2008,49.018
4623.4633,49.063
4656.9668,49.240
4690.7131,48.812
4724.7039,48.225
4758.9411,48.024
4793.4263,47.919
4828.1615,48.166
4863.1483,48.497
4898.3887,48.692
4933.8845,48.856
4969.6374,49.199
5005.6495,49.580
5041.9225,49.794
5078.4583,49.974
5115.2589,49.443
5152.3262,48.772
5189.6621,48.377
5227.2685,48.033
5265.1474,48.375
5303.3009,48.839
5341.7308,49.331
5380.4391,49.828
5419.4280,49.854
5458.6994,49.804
5498.2554,50.408
5538.0980,51.111
5578.2294,50.939
5618.6515,50.642
5659.3666,50.049
5700.3767,49.417
5741.6840,49.587
5783.2906,49.858
5825.1987,49.539
5867.4105,49.152
5909.9282,49.093
5952.7539,49.068
5995.8901,48.626
6039.3387,48.142
6083.1023,48.508
6127.1829,48.951
6171.5830,49.230
6216.3049,49.496
6261.3508,49.905
6306.7231,50.324
6352.4242,50.589
6398.4565,50.845
6444.8224,50.540
6491.5242,50.202
6538.5645,50.513
6585.9456,50.856
6633.6701,50.932
6681.7404,50.997
6730.1590,50.867
6778.9285,50.731
6828.0514,50.507
6877.5303,50.280
6927.3677,50.210
6977.5663,50.143
7028.1286,49.716
7079.0573,49.284
7130.3551,49.533
7182.0246,49.788
7234.0685,49.771
7286.4896,49.750
7339.2905,48.933
7392.4740,48.132
7446.0429,48.606
7500.0000,49.071
7554.3481,49.121
7609.0900,49.173
7664.2286,49.334
7719.7668,49.507
7775.7074,50.055
7832.0534,50.583
7888.8077,50.607
7945.9732,50.589
8003.5530,49.695
8061.5500,48.844
8119.9674,48.751
8178.8080,48.646
8238.0750,48.362
8297.7715,48.112
8357.9006,48.327
8418.4654,48.526
8479.4690,48.526
8540.9148,48.513
8602.8057,48.345
8665.1452,48.199
8727.9364,48.284
8791.1827,48.397
8854.8872,48.782
8919.0534,49.075
8983.6845,48.565
9048.7840,48.151
9114.3552,48.526
9180.4016,48.909
9246.9265,49.345
9313.9336,49.849
9381.4262,50.841
9449.4079,51.833
9517.8822,52.823
9586.8527,53.745
9656.3230,54.243
9726.2967,54.731
9796.7774,55.164
9867.7689,55.570
9939.2748,55.823
10011.2989,56.104
10083.8449,56.531
10156.9166,56.823
10230.5178,56.423
10304.6524,55.550
10379.3241,52.375
10454.5370,49.644
10530.2949,48.976
10606.6017,48.479
10683.4615,48.739
10760.8783,49.022
10838.8561,49.400
