"Sens Factor =2.0007dB, SERNO: 7021922"
588.949	-0.1567
596.281	-0.1587
603.703	-0.1608
611.219	-0.1631
618.828	-0.1657
626.531	-0.1684
634.331	-0.1708
642.228	-0.1725
650.222	-0.1732
658.317	-0.1731
666.512	-0.1728
674.809	-0.1727
683.21	-0.1727
691.715	-0.1724
700.326	-0.1716
709.044	-0.1703
717.871	-0.1685
726.807	-0.1663
735.855	-0.1637
745.016	-0.1609
754.29	-0.1579
763.68	-0.1547
773.187	-0.1515
782.812	-0.1481
792.557	-0.1447
802.424	-0.1411
812.413	-0.1374
822.526	-0.1335
832.766	-0.1294
843.133	-0.1251
853.629	-0.1206
864.255	-0.1160
875.014	-0.1113
885.907	-0.1065
896.935	-0.1015
908.101	-0.0964
919.406	-0.0912
930.851	-0.0858
942.439	-0.0803
954.171	-0.0748
966.049	-0.0694
978.076	-0.0642
990.251	-0.0594
1002.579	-0.0551
1015.06	-0.0513
1027.696	-0.0481
1040.489	-0.0452
1053.442	-0.0427
1066.556	-0.0405
1079.833	-0.0385
1093.276	-0.0365
1106.886	-0.0346
1120.665	-0.0328
1134.616	-0.0313
1148.741	-0.0300
1163.041	-0.0289
1177.519	-0.0281
1192.178	-0.0275
1207.019	-0.0269
1222.045	-0.0264
1237.258	-0.0258
1252.66	-0.0252
1268.254	-0.0245
1284.042	-0.0237
1300.027	-0.0228
1316.211	-0.0217
1332.596	-0.0205
1349.185	-0.0191
1365.981	-0.0176
1382.985	-0.0161
1400.202	-0.0144
1417.633	-0.0126
1435.28	-0.0108
1453.148	-0.0089
1471.238	-0.0070
1489.553	-0.0052
1508.096	-0.0036
1526.87	-0.0021
1545.877	-0.0008
1565.121	0.0004
1584.605	0.0014
1604.332	0.0026
1624.303	0.0040
1644.524	0.0059
1664.996	0.0085
1685.723	0.0116
1706.708	0.0153
1727.955	0.0195
1749.466	0.0242
1771.244	0.0292
1793.294	0.0346
1815.618	0.0403
1838.221	0.0461
1861.104	0.0522
1884.272	0.0584
1907.729	0.0648
1931.478	0.0714
1955.523	0.0782
1979.866	0.0853
2004.513	0.0929
2029.467	0.1009
2054.731	0.1093
2080.31	0.1183
2106.207	0.1277
2132.427	0.1376
2158.973	0.1478
